term	kcal_per_mol
angle	275.3649000000
bond	125.6119000000
dihedral	917.5863000000
eamber	-546.8800000000
eel	-5505.9095000000
one_four_eel	3106.3240000000
one_four_vdw	388.5133000000
vdwaals	145.6325000000
