term	amber_kcal_per_mol	openmm_kcal_per_mol	delta_openmm_minus_amber	abs_delta	tolerance	pass
bond	27.0588000000	27.0587955575	-0.0000044425	0.0000044425	0.0010000000	True
angle	481.1786000000	481.1786105891	0.0000105891	0.0000105891	0.0010000000	True
dihedral	336.3461000000	336.3461223913	0.0000223913	0.0000223913	0.0010000000	True
nonbonded_total	-497.1112000000	-497.1325013000	-0.0213013000	0.0213013000	0.1000000000	True
total	347.4723000000	347.4510272380	-0.0212727620	0.0212727620	0.1000000000	True
