term	kcal_per_mol
angle	220.5651000000
bond	70.9988000000
dihedral	592.8495000000
eamber	2522.7923000000
eel	4451.4029000000
hbond	0.0000000000
one_four_eel	-2593.7276000000
one_four_vdw	245.7727000000
restraint	0.0000000000
vdwaals	-465.0691000000
