step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	5.387934155227925e-06	-	-	161	z
0.003	4.848710367551246e-07	11.11	11.11	161	z
0.001	5.387420593666592e-08	9.00	9.00	161	z
0.0003	4.848589040679085e-09	11.11	11.11	161	z
0.0001	5.39813478639406e-10	8.98	9.00	161	z
3e-05	4.770435782508464e-11	11.32	11.11	165	z
1e-05	6.764751457025327e-11	0.71	9.00	146	x
3e-06	2.711884024091636e-10	0.25	11.11	146	x
1e-06	8.003200272638233e-10	0.34	9.00	158	y
3e-07	2.069459270614971e-09	0.39	11.11	125	z
