step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	0.0004157790637435294	-	-	7	z
0.003	3.769789416974145e-05	11.03	11.11	7	z
0.001	4.191374518305868e-06	8.99	9.00	7	z
0.0003	3.772507607413544e-07	11.11	11.11	7	z
0.0001	4.191502007977466e-08	9.00	9.00	7	z
3e-05	3.773678147744874e-09	11.11	11.11	7	z
1e-05	4.309816531433697e-10	8.76	9.00	7	z
3e-06	2.263813143020543e-10	1.90	11.11	109	z
1e-06	6.934899633714853e-10	0.33	9.00	47	z
3e-07	1.782311971620931e-09	0.39	11.11	28	z
