step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	0.0006219640511968549	-	-	35	y
0.003	5.597233126852785e-05	11.11	11.11	35	y
0.001	6.219103388271918e-06	9.00	9.00	35	y
0.0003	5.597143752922307e-07	11.11	11.11	35	y
0.0001	6.218791082091002e-08	9.00	9.00	35	y
3e-05	5.64249447165821e-09	11.02	11.11	35	y
1e-05	5.36393596206608e-10	10.52	9.00	35	y
3e-06	7.973692262019938e-10	0.67	11.11	2	y
1e-06	2.165267964926443e-09	0.37	9.00	36	y
3e-07	5.293772031844668e-09	0.41	11.11	125	y
