step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	6.146186002896521e-06	-	-	136	x
0.003	5.531632250805121e-07	11.11	11.11	136	x
0.001	6.146263598159202e-08	9.00	9.00	136	x
0.0003	5.53163569919253e-09	11.11	11.11	136	x
0.0001	6.1457067993681e-10	9.00	9.00	136	x
3e-05	5.526113681236788e-11	11.12	11.11	136	x
1e-05	8.758091474270202e-12	6.31	9.00	148	y
3e-06	2.902853630214197e-11	0.30	11.11	79	y
1e-06	7.848181739905646e-11	0.37	9.00	81	z
3e-07	3.028560666140656e-10	0.26	11.11	148	y
