step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	0.0006268367344635095	-	-	36	y
0.003	5.64108698237753e-05	11.11	11.11	36	y
0.001	6.267829955497461e-06	9.00	9.00	36	y
0.0003	5.640989866328994e-07	11.11	11.11	36	y
0.0001	6.267378882540697e-08	9.00	9.00	36	y
3e-05	5.677529113512492e-09	11.04	11.11	36	y
1e-05	3.032656389900801e-09	1.87	9.00	101	x
3e-06	9.702030401292916e-09	0.31	11.11	101	y
1e-06	2.964903739188784e-08	0.33	9.00	101	y
3e-07	1.294779994609474e-07	0.23	11.11	101	z
