step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	4.381142631890156e-06	-	-	15	z
0.003	3.943057948346818e-07	11.11	11.11	15	z
0.001	4.381178601853275e-08	9.00	9.00	15	z
0.0003	3.943048078151878e-09	11.11	11.11	15	z
0.0001	4.381202484138313e-10	9.00	9.00	15	z
3e-05	3.950392270246628e-11	11.09	11.11	15	z
1e-05	1.17921904879692e-11	3.35	9.00	70	x
3e-06	5.707053926662375e-11	0.21	11.11	106	y
1e-06	1.039736161750904e-10	0.55	9.00	63	z
3e-07	5.044301209372604e-10	0.21	11.11	97	x
