term	kcal_per_mol
angle	907.2127000000
bond	94.3524000000
dihedral	548.0069000000
eamber	2119.3506000000
eel	3654.4485000000
hbond	0.0000000000
one_four_eel	-2985.0029000000
one_four_vdw	267.0784000000
restraint	0.0000000000
vdwaals	-366.7454000000
