term	kcal_per_mol
angle	829.1171000000
bond	94.3524000000
dihedral	468.5221000000
eamber	1958.3263000000
eel	3650.5729000000
hbond	0.0000000000
one_four_eel	-2981.0039000000
one_four_vdw	263.4678000000
restraint	0.0000000000
vdwaals	-366.7021000000
