term	kcal_per_mol
angle	275.3649000000
bond	125.6119000000
cmap	69.9528000000
dihedral	372.7504000000
eamber	-1022.0000000000
eel	-5505.9095000000
one_four_eel	3106.3240000000
one_four_vdw	388.4969000000
vdwaals	145.4408000000
