term	amber_kcal_per_mol	openmm_kcal_per_mol	delta_openmm_minus_amber	abs_delta	tolerance	pass
bond	125.6119000000	125.6118919954	-0.0000080046	0.0000080046	0.0010000000	True
angle	275.3649000000	275.3648732901	-0.0000267099	0.0000267099	0.0010000000	True
dihedral	917.5863000000	917.5864989579	0.0001989579	0.0001989579	0.0010000000	True
nonbonded_total	-1865.4397000000	-1865.5228579060	-0.0831579060	0.0831579060	0.1000000000	True
total	-546.8800000000	-546.9595936626	-0.0795936626	0.0795936626	0.1000000000	True
