term	amber_kcal_per_mol	openmm_kcal_per_mol	delta_openmm_minus_amber	abs_delta	tolerance	pass
bond	94.3524000000	94.3524236883	0.0000236883	0.0000236883	0.0010000000	True
angle	907.2127000000	907.2127417382	0.0000417382	0.0000417382	0.0010000000	True
dihedral	548.0069000000	548.0069542222	0.0000542222	0.0000542222	0.0010000000	True
nonbonded_total	569.7786000000	569.8018329830	0.0232329830	0.0232329830	0.1000000000	True
total	2119.3506000000	2119.3739526316	0.0233526316	0.0233526316	0.1000000000	True
