term	MOSAICS	OpenMM	delta
bond	18.92184908593162	18.9218490859	0
Urey-Bradley	167.6513797823571	167.6513797824	0
angle	412.7880943139457	412.7880943139	0
torsion	122.9466154568943	122.9466154569	0
improper	0.001025553235208857	0.0010255532	0
1-4_LJ	1412.271400982297	1412.2714009823	0
LJ	176.6882040551721	176.6882040552	0
Coulomb	-356.5773168134589	-356.5776089781	2.9e-4
CMAP	0	0	0
TOTAL	1954.691252416373	1954.6909602517	2.9e-4
