term	MOSAICS	OpenMM	delta
bond	28.51501805953409	28.5150180595	0
Urey-Bradley	27.3393941982162	27.3393941982	0
angle	166.3612094820558	166.3612094821	0
torsion	114.0295240127144	114.0295240127	0
improper	0.001022516271360218	0.0010225163	0
1-4_LJ	230.8957510555391	230.8957510555	0
LJ	2564.749700760286	2564.7497007603	0
Coulomb	-119.9843150870756	-119.9844133973	9.8e-5
CMAP	0	0	0
TOTAL	3011.907304997552	3011.9072066874	9.8e-5
