term	mosaics_3.9.1	mosaics_current	sander	openmm	gromacs
bond	REFUSED_DECK	27.0587955575	27.0588000000	27.0587955575	27.0587956501
angle	REFUSED_DECK	481.1785104258	481.1786000000	481.1786105891	481.1786106597
dihedral	REFUSED_DECK	336.3461206547	336.3461000000	336.3461223913	336.3461197419
lj	REFUSED_DECK	119.1815111067	119.1815000000	119.1815109514	119.1814703633
coulomb	REFUSED_DECK	-616.3135116265	-616.2927000000	-616.3140122514	-616.3140095602
coulomb_corrected	REFUSED_DECK	-616.3140170184	-616.3140688171	-616.3140128082	-616.3140101170
total_corrected	REFUSED_DECK	347.4509207264	347.4509311829	347.4510266812	347.4509862979
