step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	0.0006268367344635095	-	-	36	y
0.003	5.64108698237753e-05	11.11	11.11	36	y
0.001	6.267829955497461e-06	9.00	9.00	36	y
0.0003	5.640989866328994e-07	11.11	11.11	36	y
0.0001	6.267378882540697e-08	9.00	9.00	36	y
3e-05	5.681230152987382e-09	11.03	11.11	36	y
1e-05	2.668807671385443e-09	2.13	9.00	93	z
3e-06	4.037188319760965e-09	0.66	11.11	94	x
1e-06	2.655931796019528e-08	0.15	9.00	94	y
3e-07	1.046474715637883e-07	0.25	11.11	93	y
