step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	1.69139035218407e-06	-	-	52	y
0.003	1.522281119309502e-07	11.11	11.11	52	y
0.001	1.691424996380165e-08	9.00	9.00	52	y
0.0003	1.522205843063626e-09	11.11	11.11	52	y
0.0001	2.008022518661806e-09	0.76	9.00	88	x
3e-05	3.511086442420375e-09	0.57	11.11	93	z
1e-05	2.680269545370095e-09	1.31	9.00	93	z
3e-06	4.079368915040592e-09	0.66	11.11	94	x
1e-06	2.662648554462368e-08	0.15	9.00	94	y
3e-07	1.053722272817935e-07	0.25	11.11	93	y
