step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	0.003554544341113797	-	-	26	y
0.003	0.0003198406104214513	11.11	11.11	26	y
0.001	3.5537178069589e-05	9.00	9.00	26	y
0.0003	3.198342608534688e-06	11.11	11.11	26	y
0.0001	3.553575016468358e-07	9.00	9.00	26	y
3e-05	3.194509368142917e-08	11.12	11.11	26	y
1e-05	3.41771677625502e-09	9.35	9.00	37	y
3e-06	1.493369428118285e-09	2.29	11.11	91	y
1e-06	6.041382505372894e-09	0.25	9.00	37	y
3e-07	1.327982649020065e-08	0.45	11.11	119	x
