step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	1.763537590892717e-06	-	-	380	z
0.003	1.587314122064498e-07	11.11	11.11	380	z
0.001	1.763685024653921e-08	9.00	9.00	380	z
0.0003	1.587096128218663e-09	11.11	11.11	380	z
0.0001	1.763727382593722e-10	9.00	9.00	380	z
3e-05	1.798092007725778e-11	9.81	11.11	380	z
1e-05	2.749281499073858e-11	0.65	9.00	812	y
3e-06	1.07823663300817e-10	0.25	11.11	661	y
1e-06	2.881259995131044e-10	0.37	9.00	609	y
3e-07	1.044080763360801e-09	0.28	11.11	734	x
