step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	5.699003372916511e-05	-	-	48	z
0.003	5.128654663899557e-06	11.11	11.11	48	z
0.001	5.698461433834012e-07	9.00	9.00	48	z
0.0003	5.128638808082897e-08	11.11	11.11	48	z
0.0001	5.700954486265175e-09	9.00	9.00	48	z
3e-05	1.108231803919582e-09	5.14	11.11	9	z
1e-05	1.771831202655554e-08	0.06	9.00	37	z
3e-06	9.281993413896156e-08	0.19	11.11	33	z
1e-06	8.457832659046873e-07	0.11	9.00	7	z
3e-07	1.573343373824105e-05	0.05	11.11	33	z
