step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	1.453410106149345e-06	-	-	218	y
0.003	1.307991372555967e-07	11.11	11.11	218	y
0.001	1.453273334355368e-08	9.00	9.00	218	y
0.0003	1.313677863972601e-09	11.06	11.11	218	y
0.0001	2.586187522815586e-10	5.08	9.00	424	y
3e-05	7.917219419124877e-10	0.33	11.11	794	x
1e-05	2.266189000343921e-09	0.35	9.00	528	x
3e-06	7.972833828144739e-09	0.28	11.11	694	y
1e-06	2.149245313751852e-08	0.37	9.00	308	x
3e-07	9.14501552428575e-08	0.24	11.11	579	x
