step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	2.769022996141571e-07	-	-	39	y
0.003	2.492214689849871e-08	11.11	11.11	39	y
0.001	2.769134834846101e-09	9.00	9.00	39	y
0.0003	2.492171112490268e-10	11.11	11.11	39	y
0.0001	2.768714099134206e-11	9.00	9.00	39	y
3e-05	2.325483772561143e-12	11.91	11.11	39	y
1e-05	4.476981936216151e-13	5.19	9.00	41	y
3e-06	7.51235174328152e-13	0.60	11.11	37	y
1e-06	2.726053432468289e-12	0.28	9.00	37	x
3e-07	7.006618375771101e-12	0.39	11.11	39	x
