step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	0.003552896127681393	-	-	26	y
0.003	0.0003196922707990879	11.11	11.11	26	y
0.001	3.552069623147247e-05	9.00	9.00	26	y
0.0003	3.196859291954013e-06	11.11	11.11	26	y
0.0001	3.551946097246628e-07	9.00	9.00	26	y
3e-05	3.194799447214791e-08	11.12	11.11	26	y
1e-05	3.447265584100023e-09	9.27	9.00	37	y
3e-06	1.48137524469405e-09	2.33	11.11	91	x
1e-06	6.056242618512897e-09	0.24	9.00	37	y
3e-07	1.279379689906116e-08	0.47	11.11	119	x
