step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	1.453410298496785e-06	-	-	218	y
0.003	1.30799181573011e-07	11.11	11.11	218	y
0.001	1.453070524494449e-08	9.00	9.00	218	y
0.0003	1.304544338005809e-09	11.14	11.11	218	y
0.0001	2.794141706202735e-10	4.67	9.00	624	y
3e-05	8.061440124652614e-10	0.35	11.11	677	y
1e-05	2.256295006733411e-09	0.36	9.00	380	z
3e-06	9.068953396411394e-09	0.25	11.11	460	x
1e-06	2.258319111467059e-08	0.40	9.00	487	y
3e-07	7.936712424772008e-08	0.28	11.11	718	z
