step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	0.0006217801034060777	-	-	36	y
0.003	5.595577642880656e-05	11.11	11.11	36	y
0.001	6.21726398142286e-06	9.00	9.00	36	y
0.0003	5.595480190301316e-07	11.11	11.11	36	y
0.0001	6.216921422108612e-08	9.00	9.00	36	y
3e-05	5.639340994179065e-09	11.02	11.11	36	y
1e-05	5.332401187274627e-10	10.58	9.00	36	y
3e-06	3.142299753733369e-10	1.70	11.11	36	y
1e-06	1.616653033664761e-09	0.19	9.00	40	y
3e-07	1.461460286122929e-09	1.11	11.11	36	y
