term	amber_kcal_per_mol	openmm_kcal_per_mol	delta_openmm_minus_amber	abs_delta	tolerance	pass
bond	125.6119000000	125.6118919954	-0.0000080046	0.0000080046	0.0010000000	True
angle	275.3649000000	275.3648732901	-0.0000267099	0.0000267099	0.0010000000	True
dihedral	372.7504000000	372.7505271801	0.0001271801	0.0001271801	0.0010000000	True
nonbonded_total	-1865.6478000000	-1865.7309418114	-0.0831418114	0.0831418114	0.1000000000	True
total	-1022.0000000000	-1022.0508018394	-0.0508018394	0.0508018394	0.1000000000	True
