term	amber_kcal_per_mol	openmm_kcal_per_mol	delta_openmm_minus_amber	abs_delta	tolerance	pass
bond	94.3524000000	94.3524257407	0.0000257407	0.0000257407	0.0010000000	True
angle	829.1171000000	829.1171337828	0.0000337828	0.0000337828	0.0010000000	True
dihedral	648.7045000000	648.7045351853	0.0000351853	0.0000351853	0.0010000000	True
nonbonded_total	566.3347000000	566.3577865738	0.0230865738	0.0230865738	0.1000000000	True
total	2138.5087000000	2138.5318812826	0.0231812826	0.0231812826	0.1000000000	True
