term	amber_kcal_per_mol	openmm_kcal_per_mol	delta_openmm_minus_amber	abs_delta	tolerance	pass
bond	94.3524000000	94.3524257407	0.0000257407	0.0000257407	0.0010000000	True
angle	829.1171000000	829.1171337828	0.0000337828	0.0000337828	0.0010000000	True
dihedral	651.6601000000	651.6600844457	-0.0000155543	0.0000155543	0.0010000000	True
nonbonded_total	566.3347000000	566.3577865738	0.0230865738	0.0230865738	0.1000000000	True
total	2141.4643000000	2141.4874305429	0.0231305429	0.0231305429	0.1000000000	True
