term	kcal_per_mol
angle	481.1786000000
bond	27.0588000000
dihedral	336.3461000000
eamber	347.4723000000
eel	1099.3970000000
hbond	0.0000000000
one_four_eel	-1715.6897000000
one_four_vdw	235.1273000000
restraint	0.0000000000
vdwaals	-115.9458000000
